,Author,Title paper,Journal,Year,Keywords
13741,AU=Sardag Sibel,[The effects of heat-setting on the properties of polyester/viscose blended yarns],[FIBRES & TEXTILES IN EASTERN EUROPE],[2007],"[heat setting, twist setting, twisting, temperature, polyester (PES), viscose, tenacity, work of rupture]"
13742,AU=Sardag Sibel,[A New Environmentally-Friendly Method of Dyeing Lyocell/Cotton Blended Fabrics],[AATCC JOURNAL OF RESEARCH],[2018],"[Blended Dyeing, Catalase, Cellulase, Cotton, Enzyme, Lyocell, Preparation, Sustainability, Tencel]"
13743,AU=Sardag Sibel,[Effects of vacuum steaming processes on the properties of continuous and staple polyester yarns],[TEXTILE RESEARCH JOURNAL],[2015],"[vacuum steaming, tensile, hairiness, twist liveliness, yarn, polyester]"
13744,AU=Sardag Sibel,[Effects of Vacuum Steaming Process on the Twist Liveliness of Staple Yarns],[FIBRES & TEXTILES IN EASTERN EUROPE],[2013],"[vacuum steaming, twist, twist liveliness, Kr value, yarn]"
13745,AU=Sardag Sibel,[THE EFFECTS OF VACUUM STEAMING PROCESS PARAMETERS ON TENACITY PROPERTIES OF COTTON AND VISCOSE YARNS],[TEKSTIL VE KONFEKSIYON],[2011],"[Vacuum steaming, Temperature, Tenacity, Yarn, Cotton, Viscose, Twisting]"
13746,AU=Richard John D.,[Widespread distribution of corticotrophin releasing factor-binding protein in fetal rat gastrointestinal tract: A local inhibitor for CRF-mediated stress responses.],[REPRODUCTIVE SCIENCES],[2008],
13747,AU=Richard John D.,[Mouse fetal gastro-intestinal tract is a stress hormone target.],[REPRODUCTIVE SCIENCES],[2008],
13748,AU=Richard John D.,"[Dynamics of nuclear glucocorticoid receptor expression in ovine fetal distal colon: A ""Hormonal Switch"" for the maturation of colonic contractility and meconium passage.]",[REPRODUCTIVE SCIENCES],[2008],
13749,AU=Richard John D.,"[Increased term fetal, as compared to newborn, corticotrophin releasing factor receptor subtype 1 (CRF-R1) expression pattern in the distal small intestine and colon: Role in the timing of meconium passage.]",[REPRODUCTIVE SCIENCES],[2008],
13750,AU=Richard John D.,[Rat placenta expresses urocortin I protein and mRNA],[REPRODUCTIVE SCIENCES],[2008],
13751,AU=Tayyar Senol,[DIAGNOSTIC UTILITY OF CARDIAC NATRIURETIC PEPTIDE: NT-PRO BNP II IN HEMODIALYSIS PATIENTS WITH LEFT VENTRICULAR DYSFUNCTION],[INTERNATIONAL JOURNAL OF CARDIOLOGY],[2010],
13752,AU=Tayyar Senol,[EFFECT OF IVABRADINE ON DIASTOLIC DYSFUNCTION IN PATIENTS WITH STABLE CORONARY ARTERY DISEASE],[INTERNATIONAL JOURNAL OF CARDIOLOGY],[2010],
13753,AU=Tayyar Senol,[Carvedilol and nebivolol improve left ventricular systolic functions in patients with non-ischemic heart failure],[ANATOLIAN JOURNAL OF CARDIOLOGY],[2015],"[carvedilol, nebivolol, systolic function, heart failure, myocardial performance index]"
13754,AU=Tayyar Senol,[The effects of carvedilol and nebivolol on oxidative stress status in patients with non-ischaemic heart failure],[KARDIOLOGIA POLSKA],[2015],"[non-ischaemic heart failure, carvedilol, nebivolol, oxidative stress]"
13755,AU=Tayyar Senol,[Oxidative Stress Status Increase in Patients with Nonischemic Heart Failure],[MEDICAL PRINCIPLES AND PRACTICE],[2014],"[Heart failure, Oxidative stress index, Total oxidative stress, Uric acid]"
13756,AU=Tokac Mehmet,[Value of lead aVR in predicting acute occlusion of proximal left anterior descending coronary artery and in-hospital outcome in ST-elevation myocardial infarction: an electrocardiographic predictor of poor prognosis],[JOURNAL OF ELECTROCARDIOLOGY],[2008],"[electrocardiography, in-hospital mortality, lead aVR, left anterior descending coronary artery, ST elevation myocardial infarction]"
13757,AU=Tokac Mehmet,[Laparoscopic cholecystectomy in elderly people: Does advanced age present any risk for conversion?],[JOURNAL OF THE AMERICAN GERIATRICS SOCIETY],[2008],
13758,AU=Tokac Mehmet,[The effect of isolated left bundle branch block on the myocardial velocities and myocardial performance index],[ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES],[2008],"[left bundle branch block, tissue Doppler echocardiography, myocardial performance index, myocardial velocity, cardiac function]"
13759,AU=Tokac Mehmet,[Effects of menopause on the myocardial velocities and myocardial performance index],[CIRCULATION JOURNAL],[2007],"[cardiac functions, menopause, myocardial performance index, tissue Doppler echocardiography]"
13760,AU=Tokac Mehmet,[Influence of menstrual cycle on cardiac performance],[MATURITAS],[2007],"[menstrual cycle, myocardial performance index, estrogen]"
13761,AU=Demir Lutfiye,[Uracil/tegafur as a possible salvage therapy in chemo-refractory colorectal cancer patients: a single institutional retrospective study],[WSPOLCZESNA ONKOLOGIA-CONTEMPORARY ONCOLOGY],[2015],"[uracil/tegafur, metastatic colorectal cancer, heavily pretreated, salvage therapy]"
13762,AU=Demir Lutfiye,[The maximum standardized uptake value of metastatic site in 18 F-FDG PET/CT predicts molecular subtypes and survival in metastatic breast cancer: An Izmir Oncology Group study],[JOURNAL OF BUON],[2016],"[breast cancer, molecular subtype, PET/CT, survival]"
13763,AU=Demir Lutfiye,"[The Effects of Adjuvant Endocrine Treatment on Serum Leptin, Serum Adiponectin and Body Composition in Patients with Breast Cancer: The Izmir Oncology Group (IZOG) Study]",[CHEMOTHERAPY],[2015],"[Adiponectin, Aromatase inhibitors, Breast cancer, Leptin, Tamoxifen]"
13764,AU=Demir Lutfiye,"[The effects of adjuvant endocrine treatment on the serum leptin, adiponectin and body composition in patients with breast cancer [Izmir Oncology Group(IZOG) Study]]",[EUROPEAN JOURNAL OF CANCER],[2015],
13765,AU=Demir Lutfiye,[Quality of life in colorectal cancer patients: an Izmir Oncology Group (IZOG) study],[JOURNAL OF BUON],[2015],"[colorectal cancer, EORTC QLQ-C30, quality of life, stage]"
13766,AU=Kalabalik Fahrettin,[Correlation between decompression period and initial volume of large cystic lesions of the mandible: a retrospective CBCT study],[CUKUROVA MEDICAL JOURNAL],[2018],"[Decompression, odontogenic cystic lesion, cone beam computed tomography, acrylic stent, marsupialization]"
13767,AU=Kalabalik Fahrettin,[Does Unilateral Cleft Lip and Palate Affect the Maxillary Sinus Volume?],[CLEFT PALATE-CRANIOFACIAL JOURNAL],[2018],"[cleft lip and palate, maxillary sinus volume, cone beam computed tomography, CBCT]"
13768,AU=Kalabalik Fahrettin,[Evaluation of pre-eruptive intracoronal resorption on cone-beam computed tomography: A retrospective study],[SCANNING],[2016],"[tomography, surface analysis, pathology]"
13769,AU=Kalabalik Fahrettin,[Evaluating root canal configuration of mandibular incisors with cone-beam computed tomography in a Turkish population],[JOURNAL OF DENTAL SCIENCES],[2015],"[anatomy, cone-beam computed, tomography, mandibular incisors, root, root canal, Turkish]"
13770,AU=Kalabalik Fahrettin,[An unusual case of double idiopathic ramus-related Stafne bone cavity],[ORAL RADIOLOGY],[2013],"[Stafne bone defect, CBCT, MRI]"
13771,AU=Orhan Semiha,[Anti-HCV positivity in sexual partners and offspring of patient with chronic hepatitis C],[SCANDINAVIAN JOURNAL OF INFECTIOUS DISEASES],[2008],
13772,AU=Orhan Semiha,[Serum neopterin levels in patients with HBV infection at various stages],[HEPATO-GASTROENTEROLOGY],[2007],"[acute hepatitis B, chronic hepatitis B, neopterin, hepatitis B virus, immunity]"
13773,AU=Orhan Semiha,[Rhabdomyolysis and Renal Insufficiency Due to Synthetic Cannabinoid Intoxication],[TURKISH JOURNAL OF INTENSIVE CARE-TURK YOGUN BAKIM DERGISI],[2017],"[Synthetic cannabinoid, renal failure, rhabdomyolysis, plasma exchange therapy]"
13774,AU=Orhan Semiha,[A Rare Case: Brugada Syndrome],[JOURNAL OF THE TURKISH SOCIETY OF INTENSIVE CARE-TURK YOGUN BAKM DERNEGI DERGISI],[2017],"[Brugada syndrome, cardiac arrest, electrocardiography]"
13775,AU=Demiryurek Abdullah Tuncay,[Prevalence and characteristics of coronary artery anomalies in children with congenital heart disease diagnosed with coronary angiography],[TURK KARDIYOLOJI DERNEGI ARSIVI-ARCHIVES OF THE TURKISH SOCIETY OF CARDIOLOGY],[2017],"[Cineangiogram, congenital heart disease, coronary anatomy, coronary artery anomalies]"
13776,AU=Demiryurek Abdullah Tuncay,[Lack of association between urotensin-II (UTS2) gene polymorphisms (Thr21Met and Ser89Asn) and migraine],[BOSNIAN JOURNAL OF BASIC MEDICAL SCIENCES],[2017],"[Aura, migraine, urotensin-II, UTS2 gene, polymorphism, Thr21Met, Ser89Asn]"
13777,AU=Demiryurek Abdullah Tuncay,[Association of peripheral blood guanylyl cyclase C (GCC) expressions with prognostic parameters and response to therapy in patients with colorectal cancer.],[JOURNAL OF CLINICAL ONCOLOGY],[2012],
13778,AU=Demiryurek Abdullah Tuncay,[Polymorphism of CYP3A4 and ABCB1 genes increase the risk of neuropathy in breast cancer patients treated with paclitaxel and docetaxel],[ONCOTARGETS AND THERAPY],[2016],"[neurotoxicity, docetaxel, paclitaxel, CYP3A4, ABCB1, single nucleotide polymorphisms]"
13779,AU=Demiryurek Abdullah Tuncay,[Investigation of the association between Rho/Rho-kinase gene polymorphisms and systemic sclerosis],[RHEUMATOLOGY INTERNATIONAL],[2016],"[Systemic sclerosis, Pathogenesis, Rho/Rho-kinase, Early diagnosis]"
13780,AU=Erkoc Figen,"[Quantum chemical calculations of warfarin sodium, warfarin and its metabolites]",[COMMUNICATIONS IN COMPUTATIONAL PHYSICS],[2008],"[warfarin, semi-empirical method, ab initio calculation, density functional method]"
13781,AU=Erkoc Figen,[Investigation of acute toxicity of fenitrothion on guppies Poecilia reticulata],[JOURNAL OF APPLIED TOXICOLOGY],[2007],"[fenitrothion, acute toxicity, guppy, Poecilia reticulata, bioassay, behavioral effects]"
13782,AU=Erkoc Figen,"[Investigation of acute toxicity of (2,4-dichlorophen oxy) acetic acid (2,4-D) herbicide on crayfish (Astacus leptodactylus Esch 1823)]",[PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY],[2007],
13783,AU=Erkoc Figen,"[Acute toxicity, behavioral changes, and histopathological effects of deltamethrin on tissues (gills, liver, brain, spleen, kidney, muscle, skin) of Nile tilapia (Oreochromis niloticus L.) fingerlings]",[ENVIRONMENTAL TOXICOLOGY],[2006],"[deltamethrin, acute toxicity, Nile tilapia, Oreochromis niloticus, histopathology, behavioral effects]"
13784,AU=Erkoc Figen,[Unio sp. primary cell culture potential in ecotoxicology research],[TOXIN REVIEWS],[2018],"[BPA, In vitro ecotoxicology, Phthalates, Primary cell culture, Unio]"
13785,AU=Demirok Ahmet,[Conjunctival Myxoma: A Clinicopathologic Report],[OPHTHALMIC SURGERY LASERS & IMAGING],[2008],
13786,AU=Demirok Ahmet,[The Risk Factors of Pterygium Development: A Hospital-Based Study],[ANNALS OF OPHTHALMOLOGY],[2008],
13787,AU=Demirok Ahmet,[Brucellosis and uveitis],[ANNALS OF OPHTHALMOLOGY],[2008],
13788,AU=Demirok Ahmet,[Nd : YAG laser posterior capsulotomy after pediatric and adult cataract surgery],[ANNALS OF OPHTHALMOLOGY],[2007],
13789,AU=Demirok Ahmet,[Visual and Refractive Outcomes of Small-Incision Lenticule Extraction in High Myopia: 5-Year Results],[JOURNAL OF OPHTHALMOLOGY],[2018],
13790,AU=Erguel Nurhan,[Situs inversus totalis shown in the 18F-FDG PET/CT scan],[HELLENIC JOURNAL OF NUCLEAR MEDICINE],[2007],
13791,AU=Dogan Melih Timucin,"[Immunological Evaluation of Children with Crimean-Congo Hemorrhagic Fever in Addition to Routine Clinical and Laboratory Tests Who Were Admitted to Sivas, Cumhuriyet University]",[GUNCEL PEDIATRI-JOURNAL OF CURRENT PEDIATRICS],[2015],"[Child, immunoglobulin, Crimean-Congo Hemorrhagic Fever, treatment]"
13792,AU=Dogan Melih Timucin,[What Is the Safe Approach for Neonatal Hypernatremic Dehydration? A Retrospective Study From a Neonatal Intensive Care Unit],[PEDIATRIC EMERGENCY CARE],[2013],"[term neonates, hypernatremic dehydration, management, complications]"
13793,AU=Tamay Zeynep,[A congenital proximal tracheoesophageal fistula 14 years after surgical repair of esophageal atresia with distal tracheoesophageal fistula],[TURKISH JOURNAL OF PEDIATRICS],[2008],"[children, congenital, esophageal atresia, tracheoesophageal fistula]"
13794,AU=Tamay Zeynep,[Prevalence and risk factors for allergic rhinitis in primary school children],[INTERNATIONAL JOURNAL OF PEDIATRIC OTORHINOLARYNGOLOGY],[2007],"[allergic rhinitis, ISAAC, risk factors, children]"
13795,AU=Tamay Zeynep,[Childhood asthma and its relationship with tonsillar tissue],[ASIAN PACIFIC JOURNAL OF ALLERGY AND IMMUNOLOGY],[2006],
13796,AU=Tamay Zeynep,[Are physicians aware of obstructive sleep apnea in children?],[SLEEP MEDICINE],[2006],"[children, obstructive sleep apnea, physician, pediatrician]"
13797,AU=Tamay Zeynep,[Netherton syndrome: report of identical twins presenting with severe atopic dermatitis],[EUROPEAN JOURNAL OF PEDIATRICS],[2006],"[atopic dermatitis, children, netherton syndrome, trichorrhexis invaginata]"
13798,AU=Ozcan M. Musa,[The use of the oregano (Origanum vulgare L.) essential oil and hydrosol in green olive fermentation],[BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY],[2008],"[green olive, fermentation, Origanum vulgare L., essential oil, hydrosol]"
13799,AU=Ozcan M. Musa,"[Evaluation of drying methods with respect to drying kinetics, mineral content and colour characteristics of rosemary leaves]",[ENERGY CONVERSION AND MANAGEMENT],[2008],"[drying kinetics, sun, oven, microwave, rosemary, mineral, colour]"
13800,AU=Ozcan M. Musa,[Physical and chemical characteristics of five Turkish olive (Olea europea L.) varieties and their oils],[GRASAS Y ACEITES],[2007],"[composition, fatty acids, minerals, oil, olive varieties, total phenol]"
13801,AU=Ozcan M. Musa,"[Phenolic compounds of Origanum sipyleum L. extract, and its antioxidant and antibacterial activities]",[JOURNAL OF FOOD LIPIDS],[2007],
13802,AU=Ozcan M. Musa,[Characteristics of grains and oils of four different oats (Avena sativa L.) cultivars growing in Turkey],[INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION],[2006],"[oat grain, Avena sativa L, proximate composition, minerals, tocopherol, fatty acid composition]"
13803,AU=Ekici Lutfiye,"[Antimicrobial and antioxidant activities of Senecio species growing in the Black Sea region, Turkey]",[ACTA BOTANICA GALLICA],[2008],"[antimicrobial activity, antioxidant activity, DPPH, phenolic compounds, Senecio]"
13804,AU=Ekici Lutfiye,[Biological activities of the extracts of two endemic Sideritis species in Turkey],[INNOVATIVE FOOD SCIENCE & EMERGING TECHNOLOGIES],[2008],"[Sideritis ozturkii and S. caesarea extracts, phenolics, flavanols, antimicrobial and antioxidant activities]"
13805,AU=Ekici Lutfiye,"[Phenolic compounds of Origanum sipyleum L. extract, and its antioxidant and antibacterial activities]",[JOURNAL OF FOOD LIPIDS],[2007],
13806,AU=Ekici Lutfiye,[Phenolic composition of European cranberrybush (Viburnum opulus L.) berries and astringency removal of its commercial juice],[INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY],[2006],"[activated carbon, astringency removal, European cranberrybush, high-performance liquid chromatograph, phenolic compounds, Viburnum opulus L]"
13807,AU=Ekici Lutfiye,"[Physicochemical, sensory, and bioactive properties of some traditional Turkish sorbets]",[JOURNAL OF FOOD PROCESSING AND PRESERVATION],[2018],
13808,AU=Uysal Ahmet Caori,[Z plasty closure of lower lip defects after tumor excision],[JOURNAL OF CRANIOFACIAL SURGERY],[2007],"[lower lip, squamous cell carcinoma, Z plasty]"
13809,AU=Yildirim Basak,[A prenatally detected case of congenital hepatoblastoma],[PATHOLOGY & ONCOLOGY RESEARCH],[2008],"[hepatoblastoma, prenatal diagnosis, ultrasound]"
13810,AU=Yildirim Basak,[Laparoscopic management of a primary ectopic ovarian pregnancy and vaginal douching as a possible cause],[ARCHIVES OF GYNECOLOGY AND OBSTETRICS],[2008],"[laparoscopy, primary ovarian pregnancy, vaginal douching]"
13811,AU=Yildirim Basak,[Lipid peroxidation in follicular fluid of women with polycystic ovary syndrome during assisted reproduction cycles],[JOURNAL OF REPRODUCTIVE MEDICINE],[2007],"[lipid peroxidation, follicular fluid, polycystic ovary syndrome, assisted reproductive techniques]"
13812,AU=Yildirim Basak,[A Case of Congenital Chylothorax Treated with Octreotide],[GUNCEL PEDIATRI-JOURNAL OF CURRENT PEDIATRICS],[2015],"[Congenital chylothorax, octreotide]"
13813,AU=Yildirim Basak,"[1-alpha,25-dihydroxyvitamin D3 Regresses Endometriotic Implants in Rats by Inhibiting Neovascularization and Altering Regulation of Matrix Metalloproteinase]",[POSTGRADUATE MEDICINE],[2014],"[1-alpha,25-dihydroxyvitamin D3, endometriosis, vascular endothelial growth factor, tissue inhibitor of metalloproteinase-2, metalloproteinase-9]"
13814,AU=Duygu Hama,[The determination of the factors impacting on in-hospital mortality in patients with acute heart failure in a tertiary referral center],[ANADOLU KARDIYOLOJI DERGISI-THE ANATOLIAN JOURNAL OF CARDIOLOGY],[2008],"[acute heart failure, in-hospital mortality, logistic regression analysis]"
13815,AU=Duygu Hama,[High-sensitivity C-reactive protein may be an indicator of the development of atherosclerosis in myocardial bridging],[INTERNATIONAL JOURNAL OF CARDIOLOGY],[2008],"[myocardial bridging, atherosclerosis, inflammation]"
13816,AU=Duygu Hama,[Myocardial bridge: a bridge to atherosclerosis],[ANADOLU KARDIYOLOJI DERGISI-THE ANATOLIAN JOURNAL OF CARDIOLOGY],[2007],"[myocardial bridge, atherosclerosis, coronary angiography]"
13817,AU=Duygu Hama,[Mitral annular calcification and SYNTAX Score],[GAZZETTA MEDICA ITALIANA ARCHIVIO PER LE SCIENZE MEDICHE],[2018],"[Mitral valve, Calcification, Diabetes mellitus, Smoking]"
13818,AU=Naldan Muhammet Emin,[Evaluation of Gram-Negative Bacilli Isolated from Patients in Intensive Care Units],[TURKISH JOURNAL OF INTENSIVE CARE-TURK YOGUN BAKIM DERGISI],[2017],"[Gram-negative bacilli, infection, intensive care unit]"
13819,AU=Naldan Muhammet Emin,[Evaluation of healthcare workers at intensive care units towards aging],[MEDICAL JOURNAL OF BAKIRKOY],[2018],"[Agesim, healthcare staff, intensive care unit]"
13820,AU=Naldan Muhammet Emin,[Is surgery a risk factor for separation anxiety in children?],[PEDIATRIC SURGERY INTERNATIONAL],[2018],"[Operation, Surgery, Postoperative anxiety, Child, Separation anxiety]"
13821,AU=Naldan Muhammet Emin,[Intravitreal Infliximab Injection to Treat Experimental Endophthalmitis],[EURASIAN JOURNAL OF MEDICINE],[2017],"[Infliximab, dexamethasone, vancomycin, staphylococcus epidermidis, endophthalmitis]"
13822,AU=Naldan Muhammet Emin,[Oxidative stress and mRNA expression of acetylcholinesterase in the leukocytes of ischemic patients],[BIOMEDICINE & PHARMACOTHERAPY],[2017],"[Gene expression, Ischemic stroke, Oxidative stress, Free radical, Acetylcholinesterase]"
13823,AU=Gumrukcuoglu Hasan Ali,[Short-term effects of cilazapril and atenolol on P-wave dispersion in patients with hypertension],[ADVANCES IN THERAPY],[2008],"[atenolol, cilazapril, P-wave dispersion]"
13824,AU=Gumrukcuoglu Hasan Ali,[Differential effects of nebivolol and atenolol on transmitral diastolic filling parameters in patients with essential hypertension],[ADVANCES IN THERAPY],[2008],"[atenolol, diastolic function, nebivolol]"
13825,AU=Gumrukcuoglu Hasan Ali,[A novel echocardiographic method for the prediction of coronary artery disease],[MEDICAL SCIENCE MONITOR],[2008],"[coronary artery disease, propagation velocity, aortic stiffness]"
13826,AU=Gumrukcuoglu Hasan Ali,[The effect of altitude on P-wave and QT duration and dispersion],[PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY],[2008],"[electrocardiogram, high altitude, P-wave and QT duration and dispersion]"
13827,AU=Gumrukcuoglu Hasan Ali,[Association of increased QTc dispersion and right ventricular hypertrophy],[MEDICAL SCIENCE MONITOR],[2008],"[right ventricular hypertrophy, QTc dispersion, high altitude]"
13828,AU=Seker Sadi Evren,[Performance prediction of impact hammer using ensemble machine learning techniques],[TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY],[2018],"[Impact hammer, Performance prediction, Net breaking rate, Machine learning, Data mining, CRISP-DM, PCA, Kernel functions]"
13829,AU=Seker Sadi Evren,[Real Life Machine Learning Case on Mobile Advertisement A Set of Real-life Machine Learning Problems and Solutions for Mobile Advertisement],[2016 INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE & COMPUTATIONAL INTELLIGENCE (CSCI)],[2016],"[Data Stream, Mobile Advertisement, Machine Learning, Data Science]"
13830,AU=Seker Sadi Evren,[Macroeconomic facts for Telecom Industry in MINT Countries],"[3RD GLOBAL CONFERENCE ON BUSINESS, ECONOMICS, MANAGEMENT AND TOURISM]",[2016],"[Telecom Investments, MINT Countries, Macroeconomical Correlation]"
13831,AU=Seker Sadi Evren,[Online anomaly detection for multi-source VMware using a distributed streaming framework],[SOFTWARE-PRACTICE & EXPERIENCE],[2016],"[real-time anomaly detection, incremental clustering, resource scheduling, data center, Apache Spark, Apache Storm]"
13832,AU=Seker Sadi Evren,[Generating Digital Reputation Index: A Case Study],"[WORLD CONFERENCE ON TECHNOLOGY, INNOVATION AND ENTREPRENEURSHIP]",[2015],"[Reputation Management, Reputation Index, Digital Reputation, Big Data, Social Medai Analysis, Web 2.0]"
13833,AU=Skountrianos George,[Cost-effectiveness of a Ceram de Infused Skin Barrier Versus a Standard Barrier Findings From a Long-Term Cost-effectiveness Analysis],[JOURNAL OF WOUND OSTOMY AND CONTINENCE NURSING],[2018],"[Cost-effectiveness, Costs and cost analysis, Economic evaluation, Economics, Ostomy, Postoperative complications, Surgical stomas]"
13834,AU=Skountrianos George,[LIFE SATISFACTION AND SELF-PERCEIVED HEALTH STATUS IN AN OSTOMY POPULATION],[JOURNAL OF WOUND OSTOMY AND CONTINENCE NURSING],[2012],
13835,AU=Skountrianos George,[THE IMPORTANCE OF SPOUSAL SUPPORT TO AN OSTOMATE'S POSTSURGICAL RECOVERY],[JOURNAL OF WOUND OSTOMY AND CONTINENCE NURSING],[2013],
13836,AU=Skountrianos George,[ADAPTING TO LIFE WITH A STOMA],[JOURNAL OF WOUND OSTOMY AND CONTINENCE NURSING],[2013],
13837,AU=Skountrianos George,[CHALLENGES TO SOCIAL ACCEPTANCE IN YOUNGER ADULT OSTOMATES],[JOURNAL OF WOUND OSTOMY AND CONTINENCE NURSING],[2013],
13838,AU=Arar Cavidan,[Continuous spinal anesthesia application in a patient with high cardiac risk: case report],[TRAKYA UNIVERSITESI TIP FAKULTESI DERGISI],[2007],"[anesthesia, continuous spinal anesthesia, high cardiac risk]"
13839,AU=Arar Cavidan,[Analysis of C-reactive protein and biochemical parameters in pericardial fluid],[YONSEI MEDICAL JOURNAL],[2006],"[pericardial fluid, CRP, pericardial CK-MB, pericardial LDH]"
13840,AU=Arar Cavidan,[Lateral Trendelenburg with the injected side down after the block improves the efficacy of the axillary approach to brachial plexus block],[JOURNAL OF ANESTHESIA],[2014],"[Regional anesthesia, Axillary block, Positions, Trendelenburg]"
13841,AU=Arar Cavidan,[Modified 45-degree head-up tilt increases success rate of lumbar puncture in patients undergoing spinal anesthesia],[JOURNAL OF ANESTHESIA],[2014],"[Lumbar puncture, Spinal anesthesia, Technique, Patient position]"
13842,AU=Arar Cavidan,[COMPARISON OF RISK INDEXES USED IN DETERMINING THE POSTOPERATIVE RESPIRATORY INSUFFICIENCY RISK],[NOBEL MEDICUS],[2013],"[Intensive care, respiratory insufficiency, indexes, pneumonia, ARDS]"
13843,AU=Unal Gozde,[Registration of ultrasound images using an information-theoretic feature detector],"[2007 4TH IEEE INTERNATIONAL SYMPOSIUM ON BIOMEDICAL IMAGING : MACRO TO NANO, VOLS 1-3]",[2007],"[image registration, information theory, biomedical image processing]"
13844,AU=Unal Gozde,[Variational skinning of an ordered set of discrete 2D balls],[ADVANCES IN GEOMETRIC MODELING AND PROCESSING],[2008],
13845,AU=Unal Gozde,[Estimation of vector fields in unconstrained and inequality constrained variational problems for segmentation and registration],[JOURNAL OF MATHEMATICAL IMAGING AND VISION],[2008],"[variational problems, equality constraints, inequality constraints, Kuhn-Tucker theorem, vector fields, nonrigid registration, joint registration and segmentation, tracking]"
13846,AU=Unal Gozde,[3-D shape modeling for hearing aid design],[IEEE SIGNAL PROCESSING MAGAZINE],[2008],
13847,AU=Unal Gozde,[Shape-driven segmentation of the arterial wall in intravascular ultrasound images],[IEEE TRANSACTIONS ON INFORMATION TECHNOLOGY IN BIOMEDICINE],[2008],"[arterial wall segmentation, calcification detection, intensity prior, intravascular ultrasound (IVUS), lumen segmentation, media adventitia segmentation, model-based segmentation, side branch detection, shape prior]"
13848,AU=Sadillioglu Sila,[What do we know about ALARA? Is our knowledge sufficient about radiation safety?],[JOURNAL OF NEUROSURGICAL SCIENCES],[2017],"[Tomography, X-ray computed, Brain, Radiation, Safety]"
13849,AU=Sadillioglu Sila,[Effects of acetaminophen and mannitol on crush injuries in rats: An experimental study],[ULUSAL TRAVMA VE ACIL CERRAHI DERGISI-TURKISH JOURNAL OF TRAUMA & EMERGENCY SURGERY],[2016],"[Acetaminophen, crush injury, earthquake, experimental work, mannitol, renal damage]"
13850,AU=Sadillioglu Sila,[THE EVALUATION OF CORRELATION BETWEEN PAIN GRADES AND RE-PRESENTATION RATES OF THE PATIENTS IN EMERGENCY DEPARTMENT],[ACTA MEDICA MEDITERRANEA],[2013],"[Emergency department, pain, re-presentation]"
13851,AU=Icli Fikri,[Prognostic significance of serum matrix metalloproteinase 9 (MMP-9) levels in patients with sarcomas],[UHOD-ULUSLARARASI HEMATOLOJI-ONKOLOJI DERGISI],[2008],"[serum MMP-9, sarcoma]"
13852,AU=Icli Fikri,[Gastric cancer in Turkey: Characteristics and etiology (a case control study of Turkish Oncology Group)],[ANNALS OF ONCOLOGY],[2006],
13853,AU=Icli Fikri,[Low molecular weight heparin (LMWH) increases the efficacy of cisplatinum plus gemcitabine combination in advanced pancreatic cancer],[JOURNAL OF SURGICAL ONCOLOGY],[2007],"[advanced pancreatic carcinoma, low molecular weight heparin, cisplatin, gemcitabine, nadroparine]"
13854,AU=Icli Fikri,[Thrombosis of the pulmonary artery in a patient with mucinous adenocarcinoma],[MEDICAL SCIENCE MONITOR],[2006],"[cancer, pulmonary thromboembolism, hypercoagulability, arterial thrombosis]"
13855,AU=Icli Fikri,[Divided dose of cisplatin combined with gemcitabine in malignant mesothelioma],[LUNG CANCER],[2006],"[malignant mesothelioma, gemcitabine, cisplatin, palliative, chemotherapy]"
13856,AU=Celik Sebahattin,[A novel approach for preventing recurrence of malign pleural effusion: early phase pleurodesis],[ARCHIVES OF MEDICAL SCIENCE],[2018],"[malignant, pleural effusion, pleurodesis, recurrence]"
13857,AU=Celik Sebahattin,[Proposal for an Index for Predicting the Success of Sleeve Gastrectomy: A Pilot Study],[BARIATRIC SURGICAL PRACTICE AND PATIENT CARE],[2018],"[sleeve gastrectomy, weight loss, remnant gastric volume]"
13858,AU=Celik Sebahattin,[Relation between Mastalgia and Anxiety in a Region with High Frequency of Posttraumatic Stress Disorder],[EUROPEAN JOURNAL OF BREAST HEALTH],[2015],"[Mastalgia, anxiety, posttraumatic stress disorder]"
13859,AU=Celik Sebahattin,[Parasitic Appendicitis: A Novel Laparoscopic Approach for the Prevention of Peritoneal Contamination],[CANADIAN JOURNAL OF INFECTIOUS DISEASES & MEDICAL MICROBIOLOGY],[2018],
13860,AU=Celik Sebahattin,[Effects of Laparoscopic and Conventional Methods on Lung Functon in colorectal Surgery],[MEDICAL SCIENCE MONITOR],[2018],"[Colorectal Surgery, Laparoscopy, Respiratory Function Tests]"
13861,AU=Inan Tulay,[Toughening of epoxy resins by amine terminated poly(arylene ether ketone)s having pendant tertiary butyl groups],[POLYMER BULLETIN],[2007],"[amine terminated oligomers, toughening, epoxy curing, poly(arylene ether ketones)]"
